Title,Price,Price per Month,Area,Front,age,Street_Width,Street_Name,Ad_Source,Plan_Number,Num_Bedrooms,Num_Bathrooms,Living_Room,Majlis,Building_surfaces,URL
أرض 749.7000122070312 متر مربع جنوبية على شارع 20م,"1,200,269","7,142",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-7497000122070312-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%AC%D9%86%D9%88%D8%A8%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-20%D9%85-5780112
أرض 375 متر مربع شمالية على شارع 20م,"975,000","5,801",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-375-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D9%85%D8%A7%D9%84%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-20%D9%85-5780228
فيلا 219.87 متر مربع شرقية على شارع 15م,"760,000","4,522",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D9%81%D9%8A%D9%84%D8%A7-21987-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-15%D9%85-5780187
فيلا 518.3 متر مربع جنوبية شرقية على شارع 30م,"1,100,000","6,545",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D9%81%D9%8A%D9%84%D8%A7-5183-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%AC%D9%86%D9%88%D8%A8%D9%8A%D8%A9-%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-30%D9%85-5779929
شقة 124 متر مربع ب 4 غرف,"780,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%B4%D9%82%D8%A9-124-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-4-%D8%BA%D8%B1%D9%81-5779137
أرض 500 متر مربع جنوبية على شارع 23م,"480,000","2,856",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-500-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%AC%D9%86%D9%88%D8%A8%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-23%D9%85-5780102
شقة 137 متر مربع ب 4 غرف,"780,000","4,641",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%B4%D9%82%D8%A9-137-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-4-%D8%BA%D8%B1%D9%81-5780210
شقة 268 متر مربع ب 6 غرف,"580,000","3,451",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%B4%D9%82%D8%A9-268-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-6-%D8%BA%D8%B1%D9%81-5780095
شقة 177 متر مربع ب 3 غرف,"1,340,000","7,973",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%B4%D9%82%D8%A9-177-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-3-%D8%BA%D8%B1%D9%81-5780067
أرض 600 متر مربع غربية على شارع 30م,"649,800","3,866",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-600-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-30%D9%85-5780098
أرض 13899.2 متر مربع شرقية على شارع 60م,"18,068,960","107,510",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-138992-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-60%D9%85-5780224
